"pangolin_lineage_rollup","is_swiss_TRUE","is_swiss_FALSE","n_lineages_aggregated","lineages_aggregated","pangolin_lineage","should_aggregate","parent_lineage"
"B.1",22,1766,2,"B.1, B.1.1.144","B.1",FALSE,"B"
"B.1.1.1",12,958,2,"B.1.1.1, C.5","B.1.1.1",FALSE,"B.1.1"
"B.1.1.122",1,2,1,"B.1.1.122","B.1.1.122",FALSE,"B.1.1"
"B.1.1.141",4,39,1,"B.1.1.141","B.1.1.141",FALSE,"B.1.1"
"B.1.1.153",1,17,1,"B.1.1.153","B.1.1.153",FALSE,"B.1.1"
"B.1.1.157",1,145,1,"B.1.1.157","B.1.1.157",FALSE,"B.1.1"
"B.1.1.162",8,174,1,"B.1.1.162","B.1.1.162",FALSE,"B.1.1"
"B.1.1.189",7,101,1,"B.1.1.189","B.1.1.189",FALSE,"B.1.1"
"B.1.1.221",1,17,1,"B.1.1.221","B.1.1.221",FALSE,"B.1.1"
"B.1.1.232",1,202,1,"B.1.1.232","B.1.1.232",FALSE,"B.1.1"
"B.1.1.241",7,118,1,"B.1.1.241","B.1.1.241",FALSE,"B.1.1"
"B.1.1.247",7,108,1,"B.1.1.247","B.1.1.247",FALSE,"B.1.1"
"B.1.1.266",4,48,1,"B.1.1.266","B.1.1.266",FALSE,"B.1.1"
"B.1.1.269",6,351,1,"B.1.1.269","B.1.1.269",FALSE,"B.1.1"
"B.1.1.277",6,480,1,"B.1.1.277","B.1.1.277",FALSE,"B.1.1"
"B.1.1.282",4,22,1,"B.1.1.282","B.1.1.282",FALSE,"B.1.1"
"B.1.1.288",1,452,1,"B.1.1.288","B.1.1.288",FALSE,"B.1.1"
"B.1.1.29",14,987,1,"B.1.1.29","B.1.1.29",FALSE,"B.1.1"
"B.1.1.296",1,18,1,"B.1.1.296","B.1.1.296",FALSE,"B.1.1"
"B.1.1.305",3,40,1,"B.1.1.305","B.1.1.305",FALSE,"B.1.1"
"B.1.1.33",1,91,1,"B.1.1.33","B.1.1.33",FALSE,"B.1.1"
"B.1.1.37",6,1603,1,"B.1.1.37","B.1.1.37",FALSE,"B.1.1"
"B.1.1.39",65,82,1,"B.1.1.39","B.1.1.39",FALSE,"B.1.1"
"B.1.1.50",1,29,1,"B.1.1.50","B.1.1.50",FALSE,"B.1.1"
"B.1.1.54",5,142,1,"B.1.1.54","B.1.1.54",FALSE,"B.1.1"
"B.1.1.58",1,6,1,"B.1.1.58","B.1.1.58",FALSE,"B.1.1"
"B.1.1.67",1,116,1,"B.1.1.67","B.1.1.67",FALSE,"B.1.1"
"B.1.1.70",34,180,1,"B.1.1.70","B.1.1.70",FALSE,"B.1.1"
"B.1.1.74",1,97,1,"B.1.1.74","B.1.1.74",FALSE,"B.1.1"
"B.1.1.99",1,5,1,"B.1.1.99","B.1.1.99",FALSE,"B.1.1"
"B.1.146",4,56,1,"B.1.146","B.1.146",FALSE,"B.1"
"B.1.160",141,1922,1,"B.1.160","B.1.160",FALSE,"B.1"
"B.1.177",208,9235,2,"B.1.177, B.1.177.23","B.1.177",FALSE,"B.1"
"B.1.218",2,52,1,"B.1.218","B.1.218",FALSE,"B.1"
"B.1.221",12,603,1,"B.1.221","B.1.221",FALSE,"B.1"
"B.1.235",1,265,1,"B.1.235","B.1.235",FALSE,"B.1"
"B.1.236",23,51,1,"B.1.236","B.1.236",FALSE,"B.1"
"B.1.258",35,821,1,"B.1.258","B.1.258",FALSE,"B.1"
"B.1.258.7",1,128,1,"B.1.258.7","B.1.258.7",FALSE,"B.1.258"
"B.1.258.9",1,121,1,"B.1.258.9","B.1.258.9",FALSE,"B.1.258"
"B.1.298",1,27,1,"B.1.298","B.1.298",FALSE,"B.1"
"B.1.36",1,623,1,"B.1.36","B.1.36",FALSE,"B.1"
"B.1.367",43,468,1,"B.1.367","B.1.367",FALSE,"B.1"
"B.1.389",13,532,1,"B.1.389","B.1.389",FALSE,"B.1"
"B.1.416.1",34,125,1,"B.1.416.1","B.1.416.1",FALSE,"B.1.416"
"B.1.88",1,21,1,"B.1.88","B.1.88",FALSE,"B.1"
