size	foreign_tmrca	foreign_tmrca_CI	foreign_mrca	ch_tmrca	ch_tmrca_CI	ch_mrca	tips	tip_nodes	n_intl_subclades	n_basal_intl_clades
1	2020-08-02	c("2020-07-24", "2020-08-21")	97	2020-08-21	NA	21	EPI_ISL_539348|2020-08-21	21	0	0
1	2020-08-02	c("2020-07-24", "2020-08-21")	97	2020-09-07	NA	22	EPI_ISL_560543|2020-09-07	22	0	0
1	2020-08-06	c("2020-07-26", "2020-08-22")	100	2020-08-22	NA	31	EPI_ISL_539361|2020-08-22	31	0	0
1	2020-08-06	c("2020-07-26", "2020-08-22")	100	2020-08-31	NA	33	EPI_ISL_541444|2020-08-31	33	0	0
1	2020-08-06	c("2020-07-26", "2020-08-22")	100	2020-08-27	NA	30	EPI_ISL_581989|2020-08-27	30	0	0
1	2020-08-06	c("2020-07-26", "2020-08-22")	100	2020-09-25	NA	32	EPI_ISL_603335|2020-09-25	32	0	0
1	2020-08-03	c("2020-07-23", "2020-08-19")	107	2020-09-16	NA	63	EPI_ISL_830808|2020-09-16	63	0	0
1	2020-07-31	c("2020-07-21", "2020-08-03")	90	2020-08-25	NA	50	EPI_ISL_539436|2020-08-25	50	0	0
1	2020-07-31	c("2020-07-21", "2020-08-03")	90	2020-08-25	NA	41	EPI_ISL_539441|2020-08-25	41	0	0
1	2020-07-31	c("2020-07-21", "2020-08-03")	90	2020-09-03	NA	35	EPI_ISL_541433|2020-09-03	35	0	0
1	2020-07-31	c("2020-07-21", "2020-08-03")	90	2020-08-31	NA	68	EPI_ISL_541443|2020-08-31	68	0	0
1	2020-07-31	c("2020-07-21", "2020-08-03")	90	2020-09-29	NA	45	EPI_ISL_603380|2020-09-29	45	0	0
1	2020-07-31	c("2020-07-21", "2020-08-03")	90	2020-09-06	NA	36	EPI_ISL_830986|2020-09-06	36	0	0
1	2020-07-31	c("2020-07-21", "2020-08-03")	90	2020-09-25	NA	85	EPI_ISL_842651|2020-09-25	85	0	0
18	2020-08-25	c("2020-08-10", "2020-08-25")	93	2020-08-25	c("2020-08-10", "2020-08-25")	93	EPI_ISL_539442|2020-08-25, EPI_ISL_541464|2020-08-28, EPI_ISL_541477|2020-09-03, EPI_ISL_541487|2020-09-03, EPI_ISL_560436|2020-09-07, EPI_ISL_560442|2020-09-09, EPI_ISL_560515|2020-09-08, EPI_ISL_560516|2020-09-08, EPI_ISL_560535|2020-09-09, EPI_ISL_603337|2020-09-25, EPI_ISL_830765|2020-09-28, EPI_ISL_830814|2020-09-24, EPI_ISL_830819|2020-09-29, EPI_ISL_830825|2020-10-01, EPI_ISL_830989|2020-09-23, EPI_ISL_603346|2020-09-25, EPI_ISL_603350|2020-09-25, EPI_ISL_603351|2020-09-25	2, 4, 5, 7, 12, 6, 10, 9, 8, 11, 3, 13, 14, 15, 16, 17, 18, 19	1	0
2	2020-07-31	c("2020-07-21", "2020-08-03")	90	2020-09-20	c("2020-09-04", "2020-09-20")	98	EPI_ISL_603339|2020-09-25, EPI_ISL_830813|2020-09-20	25, 26	0	0
1	2020-07-31	c("2020-07-22", "2020-08-25")	99	2020-09-30	NA	27	EPI_ISL_603417|2020-09-30	27	1	0
2	2020-07-31	c("2020-07-21", "2020-08-03")	90	2020-09-11	c("2020-08-13", "2020-10-01")	111	EPI_ISL_603313|2020-10-01, EPI_ISL_603324|2020-10-01	69, 70	0	0
2	2020-08-07	c("2020-07-24", "2020-08-28")	102	2020-08-07	c("2020-07-24", "2020-08-28")	102	EPI_ISL_541483|2020-09-03, EPI_ISL_603330|2020-09-25	42, 43	1	0
2	2020-07-31	c("2020-07-21", "2020-08-03")	90	2020-08-27	c("2020-07-31", "2020-09-08")	103	EPI_ISL_560437|2020-09-08, EPI_ISL_830739|2020-09-25	46, 47	0	0
1	2020-09-03	c("2020-08-11", "2020-09-03")	114	2020-09-03	NA	75	EPI_ISL_541484|2020-09-03	75	1	0
1	2020-08-17	c("2020-07-31", "2020-09-02")	115	2020-09-29	NA	81	EPI_ISL_603383|2020-09-29	81	1	0
