node	label	parent	branch.length	CI_date	CI_height	date	gisaid_epi_isl	strain	date_str	region	country	division	country_exposure	nextstrain_clade	pangolin_lineage	originating_lab	submitting_lab	authors	tree_pangolin_lineage	travel_context	similarity_context	focal_sequence	is_visited	Romania_loc_weight	China_loc_weight	Switzerland_loc_weight	United Kingdom_loc_weight	Denmark_loc_weight	Croatia_loc_weight
1	EPI_ISL_1081961|2020-09-28	24	0.333228	NA	NA	2020-09-28	EPI_ISL_1081961	Romania/2226PLOT/2020	2020-09-28	Europe	Romania	Romania	Romania	20A	B.1.258	"Stefan S. Nicolau"Institute of Virology	"Stefan S. Nicolau"Institute of Virology	Anca Botezatu et al	B.1.258	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0
2	EPI_ISL_830764|2020-09-27	24	0.330488	NA	NA	2020-09-27	EPI_ISL_830764	Switzerland/BL-42459206/2020	2020-09-27	Europe	Switzerland	Basel-Land	Switzerland	20A	B.1.258	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.258	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
3	EPI_ISL_516559|2020-08-02	25	0.0046914	NA	NA	2020-08-02	EPI_ISL_516559	Switzerland/BL-ETHZ-230016/2020	2020-08-02	Europe	Switzerland	Basel-Land	Switzerland	20A	B.1.258	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.258	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
4	EPI_ISL_516562|2020-08-02	25	0.0046914	NA	NA	2020-08-02	EPI_ISL_516562	Switzerland/BL-ETHZ-230019/2020	2020-08-02	Europe	Switzerland	Basel-Land	Switzerland	20A	B.1.258	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.258	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
5	EPI_ISL_568325|2020-08-23	26	0.0240155	NA	NA	2020-08-23	EPI_ISL_568325	Scotland/QEUH-99858D/2020	2020-08-23	Europe	United Kingdom	Scotland	United Kingdom	20A	B.1.258	Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Harper VanSteenhouse et al	B.1.258	TRUE	FALSE	FALSE	TRUE	0	0	0	1	0	0
6	EPI_ISL_830809|2020-09-16	26	0.089769	NA	NA	2020-09-16	EPI_ISL_830809	Switzerland/BS-42443135/2020	2020-09-16	Europe	Switzerland	Basel-Stadt	Switzerland	20A	B.1.258	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.258	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
7	EPI_ISL_581945|2020-08-10	25	0.0266092	NA	NA	2020-08-10	EPI_ISL_581945	Switzerland/BS-42388921/2020	2020-08-10	Europe	Switzerland	Basel-Stadt	Switzerland	20A	B.1.258	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al	B.1.258	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
8	EPI_ISL_581950|2020-08-12	25	0.0320887	NA	NA	2020-08-12	EPI_ISL_581950	Switzerland/BS-42391102/2020	2020-08-12	Europe	Switzerland	Basel-Stadt	Switzerland	20A	B.1.258	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al	B.1.258	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
9	EPI_ISL_541435|2020-09-03	27	0	NA	NA	2020-09-03	EPI_ISL_541435	Switzerland/BE-ETHZ-270133/2020	2020-09-03	Europe	Switzerland	Bern	Switzerland	20A	B.1.258	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.258	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
10	EPI_ISL_710551|2020-09-09	27	0.0164384	NA	NA	2020-09-09	EPI_ISL_710551	Croatia/Zagreb-20/2020	2020-09-09	Europe	Croatia	Zagreb	Croatia	20A	B.1.258	University Hospital Dubrava	Ruđer Boškovic Institute; Forensic Science Centre Ivan Vučetić; University of Zagreb Faculty of Science	Robert Belužić et al	B.1.258	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	1
11	EPI_ISL_581933|2020-08-01	25	0.00195167	NA	NA	2020-08-01	EPI_ISL_581933	Switzerland/BS-42376604/2020	2020-08-01	Europe	Switzerland	Basel-Stadt	Switzerland	20A	B.1.258	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al	B.1.258	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
12	EPI_ISL_581935|2020-08-03	25	0.00743112	NA	NA	2020-08-03	EPI_ISL_581935	Switzerland/BS-42378851/2020	2020-08-03	Europe	Switzerland	Basel-Stadt	Switzerland	20A	B.1.258	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al	B.1.258	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
13	EPI_ISL_710549|2020-08-24	25	0.0649654	NA	NA	2020-08-24	EPI_ISL_710549	Croatia/Zagreb-12/2020	2020-08-24	Europe	Croatia	Zagreb	Croatia	20A	B.1.258	University Hospital Dubrava	Ruđer Boškovic Institute; Forensic Science Centre Ivan Vučetić; University of Zagreb Faculty of Science	Robert Belužić et al	B.1.258	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	1
