node	label	parent	branch.length	CI_date	CI_height	date	gisaid_epi_isl	strain	date_str	region	country	division	country_exposure	nextstrain_clade	pangolin_lineage	originating_lab	submitting_lab	authors	tree_pangolin_lineage	travel_context	similarity_context	focal_sequence	is_visited	France_loc_weight	Austria_loc_weight	China_loc_weight	Switzerland_loc_weight	United Kingdom_loc_weight	Denmark_loc_weight	Luxembourg_loc_weight	Germany_loc_weight
1	EPI_ISL_1015029|2020-09-28	93	0.0931507	NA	NA	2020-09-28	EPI_ISL_1015029	France/IDF_PSL_544/2020	2020-09-28	Europe	France	Ile de France	France	20A.EU2	B.1.160	Department of Virology, Pitié-Salpêtrière hospital	Department of Virology, Pitié-Salpêtrière hospital	Valentin Leducq et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
2	EPI_ISL_539442|2020-08-25	93	0	NA	NA	2020-08-25	EPI_ISL_539442	Switzerland/BE-ETHZ-260146/2020	2020-08-25	Europe	Switzerland	Bern	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
3	EPI_ISL_830765|2020-09-28	93	0.0931507	NA	NA	2020-09-28	EPI_ISL_830765	Switzerland/BL-42460125/2020	2020-09-28	Europe	Switzerland	Basel-Land	Switzerland	20A.EU2	B.1.160	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
4	EPI_ISL_541464|2020-08-28	93	0.00821918	NA	NA	2020-08-28	EPI_ISL_541464	Switzerland/GE-ETHZ-270137/2020	2020-08-28	Europe	Switzerland	Geneva	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
5	EPI_ISL_541477|2020-09-03	93	0.0246575	NA	NA	2020-09-03	EPI_ISL_541477	Switzerland/VD-ETHZ-270075/2020	2020-09-03	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
6	EPI_ISL_560442|2020-09-09	93	0.0410959	NA	NA	2020-09-09	EPI_ISL_560442	Switzerland/BE-ETHZ-280185/2020	2020-09-09	Europe	Switzerland	Bern	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
7	EPI_ISL_541487|2020-09-03	93	0.0246575	NA	NA	2020-09-03	EPI_ISL_541487	Switzerland/VD-ETHZ-270113/2020	2020-09-03	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
8	EPI_ISL_560535|2020-09-09	93	0.0410959	NA	NA	2020-09-09	EPI_ISL_560535	Switzerland/VS-ETHZ-280204/2020	2020-09-09	Europe	Switzerland	Valais	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
9	EPI_ISL_560516|2020-09-08	93	0.0383562	NA	NA	2020-09-08	EPI_ISL_560516	Switzerland/VD-ETHZ-280166/2020	2020-09-08	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
10	EPI_ISL_560515|2020-09-08	93	0.0383562	NA	NA	2020-09-08	EPI_ISL_560515	Switzerland/VD-ETHZ-280165/2020	2020-09-08	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
11	EPI_ISL_603337|2020-09-25	93	0.0849315	NA	NA	2020-09-25	EPI_ISL_603337	Switzerland/VD-ETHZ-300305/2020	2020-09-25	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
12	EPI_ISL_560436|2020-09-07	93	0.0356164	NA	NA	2020-09-07	EPI_ISL_560436	Switzerland/BE-ETHZ-280132/2020	2020-09-07	Europe	Switzerland	Bern	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
13	EPI_ISL_830814|2020-09-24	94	0.00273973	NA	NA	2020-09-24	EPI_ISL_830814	Switzerland/BS-42455100/2020	2020-09-24	Europe	Switzerland	Basel-Stadt	Switzerland	20A.EU2	B.1.160	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
14	EPI_ISL_830819|2020-09-29	94	0.0164384	NA	NA	2020-09-29	EPI_ISL_830819	Switzerland/BS-42461606/2020	2020-09-29	Europe	Switzerland	Basel-Stadt	Switzerland	20A.EU2	B.1.160	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
15	EPI_ISL_830825|2020-10-01	94	0.0219178	NA	NA	2020-10-01	EPI_ISL_830825	Switzerland/BS-42465457/2020	2020-10-01	Europe	Switzerland	Basel-Stadt	Switzerland	20A.EU2	B.1.160	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
16	EPI_ISL_830989|2020-09-23	94	0	NA	NA	2020-09-23	EPI_ISL_830989	Switzerland/BS-42453149/2020	2020-09-23	Europe	Switzerland	Basel-Stadt	Switzerland	20A.EU2	B.1.160	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
17	EPI_ISL_603346|2020-09-25	95	0.0418048	NA	NA	2020-09-25	EPI_ISL_603346	Switzerland/GE-ETHZ-300314/2020	2020-09-25	Europe	Switzerland	Geneva	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
18	EPI_ISL_603350|2020-09-25	96	0.000979847	NA	NA	2020-09-25	EPI_ISL_603350	Switzerland/VD-ETHZ-300318/2020	2020-09-25	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
19	EPI_ISL_603351|2020-09-25	96	0.000979847	NA	NA	2020-09-25	EPI_ISL_603351	Switzerland/VD-ETHZ-300319/2020	2020-09-25	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
20	EPI_ISL_1015162|2020-09-21	97	0.13807	NA	NA	2020-09-21	EPI_ISL_1015162	France/IDF_PSL_417/2020	2020-09-21	Europe	France	Ile de France	France	20A.EU2	B.1.160	Department of Virology, Pitié-Salpêtrière hospital	Department of Virology, Pitié-Salpêtrière hospital	Valentin Leducq et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
