node	label	parent	branch.length	CI_date	CI_height	date	gisaid_epi_isl	strain	date_str	region	country	division	country_exposure	nextstrain_clade	pangolin_lineage	originating_lab	submitting_lab	authors	tree_pangolin_lineage	travel_context	similarity_context	focal_sequence	is_visited	China_loc_weight	Switzerland_loc_weight	Netherlands_loc_weight	Belgium_loc_weight	Denmark_loc_weight	Germany_loc_weight	France_loc_weight
1	EPI_ISL_402125|2019-12-26	21	0	NA	NA	2019-12-26	EPI_ISL_402125	Wuhan/Hu-1/2019	2019-12-26	Asia	China	Hubei	China	19A	B	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al	B	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
2	EPI_ISL_535591|2020-08-18	23	0.0743598	NA	NA	2020-08-18	EPI_ISL_535591	Switzerland/GR-ETHZ-250065/2020	2020-08-18	Europe	Switzerland	Graubünden	Switzerland	20A	B.1.221	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.221	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA
3	EPI_ISL_578014|2020-09-18	24	0	NA	NA	2020-09-18	EPI_ISL_578014	Netherlands/ZH-EMC-586/2020	2020-09-18	Europe	Netherlands	South Holland	Netherlands	20A	B.1.221	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	B.1.221	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
4	EPI_ISL_632400|2020-09-23	24	0.0136986	NA	NA	2020-09-23	EPI_ISL_632400	Netherlands/ZH-EMC-700/2020	2020-09-23	Europe	Netherlands	South Holland	Netherlands	20A	B.1.221	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	B.1.221	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
5	EPI_ISL_626252|2020-09-05	23	0.123675	NA	NA	2020-09-05	EPI_ISL_626252	Belgium/ULG-10619/2020	2020-09-05	Europe	Belgium	Liège	Belgium	20A	B.1.221	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al	B.1.221	TRUE	FALSE	FALSE	TRUE	0	0	0	1	0	0	0
6	EPI_ISL_535606|2020-08-19	23	0.0770995	NA	NA	2020-08-19	EPI_ISL_535606	Switzerland/BL-ETHZ-250087/2020	2020-08-19	Europe	Switzerland	Basel-Land	Switzerland	20A	B.1.221	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.221	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA
7	EPI_ISL_577943|2020-08-26	26	0	NA	NA	2020-08-26	EPI_ISL_577943	Netherlands/ZH-EMC-514/2020	2020-08-26	Europe	Netherlands	South Holland	Netherlands	20A	B.1.221	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	B.1.221	TRUE	FALSE	FALSE	TRUE	0	0	1	0	0	0	0
8	EPI_ISL_632670|2020-09-28	26	0.090411	NA	NA	2020-09-28	EPI_ISL_632670	Netherlands/ZH-EMC-789/2020	2020-09-28	Europe	Netherlands	South Holland	Netherlands	20A	B.1.221	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	B.1.221	TRUE	FALSE	FALSE	TRUE	0	0	1	0	0	0	0
9	EPI_ISL_904159|2020-09-21	26	0.0712329	NA	NA	2020-09-21	EPI_ISL_904159	Netherlands/ZH-EMC-1349/2020	2020-09-21	Europe	Netherlands	South Holland	Netherlands	20A	B.1.221	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	B.1.221	TRUE	FALSE	FALSE	TRUE	0	0	1	0	0	0	0
10	EPI_ISL_603275|2020-10-01	26	0.0986301	NA	NA	2020-10-01	EPI_ISL_603275	Switzerland/ZH-ETHZ-300242/2020	2020-10-01	Europe	Switzerland	Zürich	Switzerland	20A	B.1.221	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.221	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA
