node	label	parent	branch.length	CI_date	CI_height	date	gisaid_epi_isl	strain	date_str	region	country	division	country_exposure	nextstrain_clade	pangolin_lineage	originating_lab	submitting_lab	authors	tree_pangolin_lineage	travel_context	similarity_context	focal_sequence	is_visited	France_loc_weight	Netherlands_loc_weight	China_loc_weight	Switzerland_loc_weight	United Kingdom_loc_weight	Spain_loc_weight	Ireland_loc_weight	Germany_loc_weight	Lithuania_loc_weight	Italy_loc_weight	Japan_loc_weight
1	EPI_ISL_1015148|2020-09-04	117	0.0921786	NA	NA	2020-09-04	EPI_ISL_1015148	France/IDF_PSL_526/2020	2020-09-04	Europe	France	Ile de France	France	20E (EU1)	B.1.177	Department of Virology, Pitié-Salpêtrière hospital	Department of Virology, Pitié-Salpêtrière hospital	Valentin Leducq et al	B.1.177	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0	0	0	0
2	EPI_ISL_632569|2020-09-29	117	0.160672	NA	NA	2020-09-29	EPI_ISL_632569	Netherlands/ZH-EMC-722/2020	2020-09-29	Europe	Netherlands	South Holland	Netherlands	20E (EU1)	B.1.177	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	B.1.177	TRUE	FALSE	FALSE	TRUE	0	1	0	0	0	0	0	0	0	0	0
3	EPI_ISL_631376|2020-09-15	117	0.122316	NA	NA	2020-09-15	EPI_ISL_631376	Germany/NW-HHU-243/2020	2020-09-15	Europe	Germany	North Rhine Westphalia	Germany	20E (EU1)	B.1.177	ZOTZ KLIMAS MVZ Düsseldorf-Centrum GbR ÜBAG für Labormedizin, Genetik, Zytologie, Pathologie	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	Maximilian Damagnez et al	B.1.177	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	1	0	0	0
4	EPI_ISL_778692|2020-09-29	117	0.160672	NA	NA	2020-09-29	EPI_ISL_778692	Italy/CAM-TIGEM-397/2020	2020-09-29	Europe	Italy	Campania	Italy	20E (EU1)	B.1.177	Istituto Zooprofilattico Sperimentale del Mezzogiorno	TIGEM	Antonio Grimaldi et al	B.1.177	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	1	0
5	EPI_ISL_738122|2020-08-23	117	0.0593018	NA	NA	2020-08-23	EPI_ISL_738122	Italy/CAM-IZSM-115255/2020	2020-08-23	Europe	Italy	Campania	Spain	20E (EU1)	B.1.177	IZSM-U.O.C. Virologia	Istituto Zooprofilattico Sperimentale del Mezzogiorno	Maurizio Viscardi et al	B.1.177	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	1	0
6	EPI_ISL_778720|2020-09-15	117	0.122316	NA	NA	2020-09-15	EPI_ISL_778720	Italy/CAM-TIGEM-420/2020	2020-09-15	Europe	Italy	Campania	Italy	20E (EU1)	B.1.177	Istituto Zooprofilattico Sperimentale del Mezzogiorno	TIGEM	Antonio Grimaldi et al	B.1.177	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	1	0
7	EPI_ISL_535625|2020-08-20	117	0.0510827	NA	NA	2020-08-20	EPI_ISL_535625	Switzerland/BE-ETHZ-250116/2020	2020-08-20	Europe	Switzerland	Bern	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	EPI_ISL_541511|2020-09-02	117	0.0866991	NA	NA	2020-09-02	EPI_ISL_541511	Switzerland/ZH-ETHZ-270040/2020	2020-09-02	Europe	Switzerland	Zürich	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	EPI_ISL_539367|2020-08-22	119	0.0184591	NA	NA	2020-08-22	EPI_ISL_539367	Switzerland/GR-ETHZ-260035/2020	2020-08-22	Europe	Switzerland	Graubünden	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	EPI_ISL_539459|2020-08-26	120	0.0114253	NA	NA	2020-08-26	EPI_ISL_539459	Switzerland/BE-ETHZ-260167/2020	2020-08-26	Europe	Switzerland	Bern	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
