node	label	parent	branch.length	CI_date	CI_height	date	gisaid_epi_isl	strain	date_str	region	country	division	country_exposure	nextstrain_clade	pangolin_lineage	originating_lab	submitting_lab	authors	tree_pangolin_lineage	travel_context	similarity_context	focal_sequence	is_visited	China_loc_weight	Switzerland_loc_weight	Netherlands_loc_weight	France_loc_weight	Germany_loc_weight	Tunisia_loc_weight
1	EPI_ISL_402125|2019-12-26	16	0.0194062	NA	NA	2019-12-26	EPI_ISL_402125	Wuhan/Hu-1/2019	2019-12-26	Asia	China	Hubei	China	19A	B	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al	B	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
2	EPI_ISL_516558|2020-08-02	18	0	NA	NA	2020-08-02	EPI_ISL_516558	Switzerland/VD-ETHZ-230015/2020	2020-08-02	Europe	Switzerland	Vaud	Switzerland	20C	B.1.367	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.367	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
3	EPI_ISL_560454|2020-09-10	18	0.106849	NA	NA	2020-09-10	EPI_ISL_560454	Switzerland/BE-ETHZ-280249/2020	2020-09-10	Europe	Switzerland	Bern	Switzerland	20C	B.1.367	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.367	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
4	EPI_ISL_577932|2020-08-25	18	0.0630137	NA	NA	2020-08-25	EPI_ISL_577932	Netherlands/ZH-EMC-503/2020	2020-08-25	Europe	Netherlands	South Holland	Netherlands	20C	B.1.367	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	B.1.367	TRUE	FALSE	FALSE	TRUE	0	0	1	0	0	0
5	EPI_ISL_900158|2020-08-16	18	0.0383562	NA	NA	2020-08-16	EPI_ISL_900158	France/PAC-IHUCOVID-1181/2020	2020-08-16	Europe	France	Provence-Alpes-Côte d'Azur	France	20C	B.1.367	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.367	TRUE	FALSE	FALSE	TRUE	0	0	0	1	0	0
6	EPI_ISL_539371|2020-08-23	18	0.0575342	NA	NA	2020-08-23	EPI_ISL_539371	Switzerland/GR-ETHZ-260041/2020	2020-08-23	Europe	Switzerland	Graubünden	Switzerland	20C	B.1.367	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.367	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
7	EPI_ISL_541410|2020-09-03	18	0.0876712	NA	NA	2020-09-03	EPI_ISL_541410	Switzerland/AG-ETHZ-270120/2020	2020-09-03	Europe	Switzerland	Aargau	Switzerland	20C	B.1.367	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.367	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
8	EPI_ISL_644476|2020-08-28	18	0.0712329	NA	NA	2020-08-28	EPI_ISL_644476	France/PAC-MEPHI-2019/2020	2020-08-28	Europe	France	Provence-Alpes-Côte d'Azur	France	20C	B.1.367	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.367	TRUE	FALSE	FALSE	TRUE	0	0	0	1	0	0
9	EPI_ISL_900104|2020-08-19	18	0.0465753	NA	NA	2020-08-19	EPI_ISL_900104	France/PAC-IHUCOVID-1338/2020	2020-08-19	Europe	France	Provence-Alpes-Côte d'Azur	France	20C	B.1.367	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.367	TRUE	FALSE	FALSE	TRUE	0	0	0	1	0	0
10	EPI_ISL_692736|2020-08-18	18	0.0438356	NA	NA	2020-08-18	EPI_ISL_692736	France/ARA-61889/2020	2020-08-18	Europe	France	Auvergne-Rhône-Alpes	France	20C	B.1.367	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al	B.1.367	TRUE	FALSE	FALSE	TRUE	0	0	0	1	0	0
