"gisaid_epi_isl","country","date","date_str","pangolin_lineage","date_validity","iso_code"
"EPI_ISL_815257","Albania","2020-09-01","2020-09-05","B.1.236",TRUE,"ALB"
"EPI_ISL_853906","Austria","2020-08-01","2020-08-22","B.1.160",TRUE,"AUT"
"EPI_ISL_583892","Austria","2020-08-01","2020-08-03","B.1.1.1",TRUE,"AUT"
"EPI_ISL_853977","Austria","2020-09-01","2020-09-18","B.1.1.70",TRUE,"AUT"
"EPI_ISL_1020296","Austria","2020-09-01","2020-09-01","B.1.1.232",TRUE,"AUT"
"EPI_ISL_1020297","Austria","2020-09-01","2020-09-18","B.1.160",TRUE,"AUT"
"EPI_ISL_853971","Austria","2020-09-01","2020-09-18","B.1.1.70",TRUE,"AUT"
"EPI_ISL_581603","Belgium","2020-08-01","2020-08-14","B.1.221",TRUE,"BEL"
"EPI_ISL_925419","Belgium","2020-08-01","2020-08-17","B.1.1.29",TRUE,"BEL"
"EPI_ISL_540541","Belgium","2020-08-01","2020-08-07","B.1.1.297",TRUE,"BEL"
"EPI_ISL_626252","Belgium","2020-09-01","2020-09-05","B.1.221",TRUE,"BEL"
"EPI_ISL_641580","Belgium","2020-09-01","2020-09-18","B.1.1",TRUE,"BEL"
"EPI_ISL_889365","Czech Republic","2020-08-01","2020-08-07","B.1.1.266",TRUE,"CZE"
"EPI_ISL_626583","Czech Republic","2020-09-01","2020-09-15","B.1.416.1",TRUE,"CZE"
"EPI_ISL_960072","Germany","2020-08-01","2020-08-10","B.1",TRUE,"DEU"
"EPI_ISL_815283","Germany","2020-08-01","2020-08-10","B.1.221",TRUE,"DEU"
"EPI_ISL_852806","Germany","2020-08-01","2020-08-10","B.1.1",TRUE,"DEU"
"EPI_ISL_753974","Germany","2020-08-01","2020-08-02","B.1.1.274",TRUE,"DEU"
"EPI_ISL_729588","Germany","2020-08-01","2020-08-12","B.1.367",TRUE,"DEU"
"EPI_ISL_753734","Germany","2020-08-01","2020-08-08","B.1.88",TRUE,"DEU"
"EPI_ISL_539579","Germany","2020-08-01","2020-08-28","B.1.1.247",TRUE,"DEU"
"EPI_ISL_729593","Germany","2020-08-01","2020-08-23","B.1.1.105",TRUE,"DEU"
"EPI_ISL_666630","Germany","2020-08-01","2020-08-31","B.1.1.297",TRUE,"DEU"
"EPI_ISL_631360","Germany","2020-09-01","2020-09-24","B.1.88",TRUE,"DEU"
"EPI_ISL_770759","Germany","2020-09-01","2020-09-29","B.1.1.140",TRUE,"DEU"
"EPI_ISL_959965","Germany","2020-09-01","2020-09-24","B.1.1.162",TRUE,"DEU"
"EPI_ISL_753876","Germany","2020-09-01","2020-09-26","B.1.389",TRUE,"DEU"
"EPI_ISL_631376","Germany","2020-09-01","2020-09-15","B.1.177",TRUE,"DEU"
"EPI_ISL_666642","Germany","2020-09-01","2020-09-10","B.1.1.232",TRUE,"DEU"
"EPI_ISL_631382","Germany","2020-09-01","2020-09-28","B.1.221",TRUE,"DEU"
