"gisaid_epi_isl","strain","date_str","date","region","country","division","country_exposure","nextstrain_clade","pangolin_lineage","originating_lab","submitting_lab","authors","tree_pangolin_lineage","tree_label","travel_context","similarity_context","focal_sequence"
"EPI_ISL_402125","Wuhan/Hu-1/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","Zhang et al","B","EPI_ISL_402125|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_406798","Wuhan/WH01/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","General Hospital of Central Theater Command of People's Liberation Army of China","BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China","Weijun Chen et al","B","EPI_ISL_406798|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_535605","Switzerland/AG-ETHZ-250086/2020","2020-08-19",2020-08-19,"Europe","Switzerland","Aargau","Switzerland","20A","B.1.416.1","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.416.1","EPI_ISL_535605|2020-08-19",FALSE,FALSE,TRUE
"EPI_ISL_560428","Switzerland/AG-ETHZ-280247/2020","2020-09-10",2020-09-10,"Europe","Switzerland","Aargau","Switzerland","20A","B.1.416.1","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.416.1","EPI_ISL_560428|2020-09-10",FALSE,FALSE,TRUE
"EPI_ISL_560493","Switzerland/VD-ETHZ-280103/2020","2020-09-07",2020-09-07,"Europe","Switzerland","Vaud","Switzerland","20A","B.1.416.1","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.416.1","EPI_ISL_560493|2020-09-07",FALSE,FALSE,TRUE
"EPI_ISL_581257","England/MILK-9E2CF8/2020","2020-09-21",2020-09-21,"Europe","United Kingdom","England","United Kingdom","20A","B.1.416.1","Lighthouse Lab in Milton Keynes","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","The Lighthouse Lab in Milton Keynes et al","B.1.416.1","EPI_ISL_581257|2020-09-21",FALSE,TRUE,FALSE
"EPI_ISL_584859","England/QEUH-9E3626/2020","2020-09-24",2020-09-24,"Europe","United Kingdom","England","United Kingdom","20A","B.1.416.1","Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust","COVID-19 Genomics UK (COG-UK) Consortium","Darren L Smith et al","B.1.416.1","EPI_ISL_584859|2020-09-24",FALSE,TRUE,FALSE
"EPI_ISL_589925","England/QEUH-9D08EA/2020","2020-09-16",2020-09-16,"Europe","United Kingdom","England","United Kingdom","20A","B.1.416.1","Lighthouse Lab in Glasgow","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Harper VanSteenhouse et al","B.1.416.1","EPI_ISL_589925|2020-09-16",FALSE,TRUE,FALSE
"EPI_ISL_603311","Switzerland/BE-ETHZ-300279/2020","2020-10-01",2020-10-01,"Europe","Switzerland","Bern","Switzerland","20A","B.1.416.1","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.416.1","EPI_ISL_603311|2020-10-01",FALSE,FALSE,TRUE
"EPI_ISL_603332","Switzerland/BE-ETHZ-300300/2020","2020-09-25",2020-09-25,"Europe","Switzerland","Bern","Switzerland","20A","B.1.416.1","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.416.1","EPI_ISL_603332|2020-09-25",FALSE,FALSE,TRUE
"EPI_ISL_603360","Switzerland/BE-ETHZ-300393/2020","2020-09-29",2020-09-29,"Europe","Switzerland","Bern","Switzerland","20A","B.1.416.1","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.416.1","EPI_ISL_603360|2020-09-29",FALSE,FALSE,TRUE
"EPI_ISL_626583","CzechRepublic/NRL_8972-5/2020","2020-09-15",2020-09-15,"Europe","Czech Republic","Prague","Czech Republic","20A","B.1.416.1","The National Institute of Public Health","State Veterinary Institute Prague","Nagy et al","B.1.416.1","EPI_ISL_626583|2020-09-15",TRUE,FALSE,FALSE
