"gisaid_epi_isl","strain","date_str","date","region","country","division","country_exposure","nextstrain_clade","pangolin_lineage","originating_lab","submitting_lab","authors","tree_pangolin_lineage","tree_label","travel_context","similarity_context","focal_sequence"
"EPI_ISL_402125","Wuhan/Hu-1/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","Zhang et al","B","EPI_ISL_402125|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_406798","Wuhan/WH01/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","General Hospital of Central Theater Command of People's Liberation Army of China","BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China","Weijun Chen et al","B","EPI_ISL_406798|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_516575","Switzerland/GE-ETHZ-230034/2020","2020-08-04",2020-08-04,"Europe","Switzerland","Geneva","Switzerland","20A","B.1","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1","EPI_ISL_516575|2020-08-04",FALSE,FALSE,TRUE
"EPI_ISL_516588","Switzerland/ZH-ETHZ-230049/2020","2020-08-04",2020-08-04,"Europe","Switzerland","Zürich","Switzerland","20C","B.1","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1","EPI_ISL_516588|2020-08-04",FALSE,FALSE,TRUE
"EPI_ISL_560455","Switzerland/BL-ETHZ-280081/2020","2020-09-07",2020-09-07,"Europe","Switzerland","Basel-Land","Switzerland","20A","B.1","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1","EPI_ISL_560455|2020-09-07",FALSE,FALSE,TRUE
"EPI_ISL_560609","France/BRE-8941/2020","2020-08-02",2020-08-02,"Europe","France","Bretagne","France","20A","B.1","Hospital","National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris","Sylvie Behillil et al","B.1","EPI_ISL_560609|2020-08-02",TRUE,FALSE,FALSE
"EPI_ISL_569095","France/PAC-IHU-1236/2020","2020-08-17",2020-08-17,"Europe","France","Provence-Alpes-Côte d'Azur","France","20C","B.1","MEPHI, Aix Marseille University","MEPHI, Aix Marseille University","Anthony LEVASSEUR et al","B.1","EPI_ISL_569095|2020-08-17",TRUE,FALSE,FALSE
"EPI_ISL_581971","Switzerland/BS-42400666/2020","2020-08-18",2020-08-18,"Europe","Switzerland","Basel-Stadt","Switzerland","20A","B.1","University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology","Madlen Stange et al","B.1","EPI_ISL_581971|2020-08-18",FALSE,FALSE,TRUE
"EPI_ISL_601548","England/MILK-9D4752/2020","2020-09-18",2020-09-18,"Europe","United Kingdom","England","United Kingdom","20B","B.1","Lighthouse Lab in Milton Keynes","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","The Lighthouse Lab in Milton Keynes et al","B.1","EPI_ISL_601548|2020-09-18",FALSE,TRUE,FALSE
"EPI_ISL_603357","Switzerland/BE-ETHZ-300325/2020","2020-09-26",2020-09-26,"Europe","Switzerland","Bern","Switzerland","20B","B.1.1.144","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1","EPI_ISL_603357|2020-09-26",FALSE,FALSE,TRUE
