node	label	parent	branch.length	CI_date	CI_height	date	gisaid_epi_isl	strain	date_str	region	country	division	country_exposure	nextstrain_clade	pangolin_lineage	originating_lab	submitting_lab	authors	tree_pangolin_lineage	travel_context	similarity_context	focal_sequence	is_visited	Canada_loc_weight	China_loc_weight	Switzerland_loc_weight	Japan_loc_weight	Croatia_loc_weight	South Korea_loc_weight	Iceland_loc_weight	Austria_loc_weight	North Macedonia_loc_weight
1	EPI_ISL_1055687|2020-08-12	28	0.26722	NA	NA	2020-08-12	EPI_ISL_1055687	Canada/NS-NML-5522/2020	2020-08-12	North America	Canada	Nova Scotia	Canada	20B	B.1.1.70	QEII Health Sciences Centre	National Microbiology Laboratory (NML)	Anna Majer et al	B.1.1.70	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	EPI_ISL_747342|2020-09-22	28	0.379549	NA	NA	2020-09-22	EPI_ISL_747342	SouthKorea/KDCA0106/2020	2020-09-22	Asia	South Korea	South Korea	Uzbekistan	20B	B.1.1.70	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al	B.1.1.70	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	EPI_ISL_667658|2020-08	28	0.275439	NA	NA	2020-08-15	EPI_ISL_667658	Japan/IC-0229/2020	2020-08	Asia	Japan	Japan	Russia	20B	B.1.1.70	Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al	B.1.1.70	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	EPI_ISL_523894|2020-08-12	29	0.0902743	NA	NA	2020-08-12	EPI_ISL_523894	Switzerland/ZH-ETHZ-240053/2020	2020-08-12	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.70	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.70	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	EPI_ISL_956404|2020-09-11	29	0.172466	NA	NA	2020-09-11	EPI_ISL_956404	NorthMacedonia/12037/2020	2020-09-11	Europe	North Macedonia	Southeastern Region	North Macedonia	20B	B.1.1.70	General Hospital - Strumica	Research Center for Genetic Engineering and Biotechnology "Georgi D. Efremov” , Macedonian Academy of Sciences and Arts	Aleksandar J. Dimovski et al	B.1.1.70	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	1
6	EPI_ISL_539410|2020-08-25	34	0	NA	NA	2020-08-25	EPI_ISL_539410	Switzerland/ZH-ETHZ-260089/2020	2020-08-25	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.70	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.70	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	EPI_ISL_541514|2020-09-01	34	0.0191781	NA	NA	2020-09-01	EPI_ISL_541514	Switzerland/ZH-ETHZ-270051/2020	2020-09-01	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.70	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.70	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	EPI_ISL_541526|2020-08-28	34	0.00821918	NA	NA	2020-08-28	EPI_ISL_541526	Switzerland/ZH-ETHZ-270144/2020	2020-08-28	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.70	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.70	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	EPI_ISL_523902|2020-08-13	36	0.0596908	NA	NA	2020-08-13	EPI_ISL_523902	Switzerland/BL-ETHZ-240062/2020	2020-08-13	Europe	Switzerland	Basel-Land	Switzerland	20B	B.1.1.70	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.70	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	EPI_ISL_535615|2020-08-20	38	0	NA	NA	2020-08-20	EPI_ISL_535615	Switzerland/ZH-ETHZ-250099/2020	2020-08-20	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.70	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.70	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
