"gisaid_epi_isl","strain","date_str","date","region","country","division","country_exposure","nextstrain_clade","pangolin_lineage","originating_lab","submitting_lab","authors","tree_pangolin_lineage","tree_label","travel_context","similarity_context","focal_sequence"
"EPI_ISL_402125","Wuhan/Hu-1/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","Zhang et al","B","EPI_ISL_402125|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_406798","Wuhan/WH01/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","General Hospital of Central Theater Command of People's Liberation Army of China","BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China","Weijun Chen et al","B","EPI_ISL_406798|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_523875","Switzerland/SG-ETHZ-240025/2020","2020-08-10",2020-08-10,"Europe","Switzerland","Sankt Gallen","Switzerland","20A","B.1.389","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.389","EPI_ISL_523875|2020-08-10",FALSE,FALSE,TRUE
"EPI_ISL_523886","Switzerland/AG-ETHZ-240044/2020","2020-08-11",2020-08-11,"Europe","Switzerland","Aargau","Switzerland","20A","B.1.389","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.389","EPI_ISL_523886|2020-08-11",FALSE,FALSE,TRUE
"EPI_ISL_523916","Switzerland/UR-ETHZ-240078/2020","2020-08-10",2020-08-10,"Europe","Switzerland","Uri","Switzerland","20A","B.1.389","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.389","EPI_ISL_523916|2020-08-10",FALSE,FALSE,TRUE
"EPI_ISL_532443","England/QEUH-95EE88/2020","2020-08-05",2020-08-05,"Europe","United Kingdom","England","United Kingdom","20A","B.1.389","Lighthouse Lab in Glasgow","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Harper VanSteenhouse et al","B.1.389","EPI_ISL_532443|2020-08-05",FALSE,TRUE,FALSE
"EPI_ISL_539455","Switzerland/BL-ETHZ-260162/2020","2020-08-27",2020-08-27,"Europe","Switzerland","Basel-Land","Switzerland","20A","B.1.389","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.389","EPI_ISL_539455|2020-08-27",FALSE,FALSE,TRUE
"EPI_ISL_576117","Malta/BAL-Sliema-1/2020","2020-08-19",2020-08-19,"Europe","Malta","Malta","Malta","20A","B.1.389","Laboratory, The Bio Arte Limited","Laboratory, The Bio Arte Limited","Biazzo et al","B.1.389","EPI_ISL_576117|2020-08-19",TRUE,FALSE,FALSE
"EPI_ISL_576118","Malta/BAL-Sliema-2/2020","2020-09-04",2020-09-04,"Europe","Malta","Malta","Malta","20A","B.1.389","Laboratory, The Bio Arte Limited","Laboratory, The Bio Arte Limited","Biazzo et al","B.1.389","EPI_ISL_576118|2020-09-04",TRUE,FALSE,FALSE
"EPI_ISL_576119","Malta/BAL-Sliema-3/2020","2020-08-14",2020-08-14,"Europe","Malta","Malta","Malta","20A","B.1.389","Laboratory, The Bio Arte Limited","Laboratory, The Bio Arte Limited","Biazzo et al","B.1.389","EPI_ISL_576119|2020-08-14",TRUE,FALSE,FALSE
